,gender,datetime,calculated_value
0,F,1997-09-30,0.7586972612879349
1,F,1997-10-31,0.7992874109263658
2,F,1997-11-30,0.8436653386454184
3,F,1997-12-31,0.819813829787234
4,F,1998-01-31,0.7247007616974973
5,F,1998-02-28,0.7792607802874744
6,F,1998-03-31,0.7451923076923077
7,F,1998-04-30,0.7280130293159609
8,M,1997-09-30,0.7823325635103926
9,M,1997-10-31,0.8226824955796919
10,M,1997-11-30,0.8264677628976663
11,M,1997-12-31,0.8190283855043196
12,M,1998-01-31,0.7851239669421488
13,M,1998-02-28,0.7751018895887366
14,M,1998-03-31,0.774318206911781
15,M,1998-04-30,0.7640481651376146
